start_station_id,start_station_name,gbfs_name,gbfs_id
5414.06,Allen St & Rivington St,Allen St & Rivington St,66dbf062-0aca-11e7-82f6-3863bb44ef7c
5746.02,E 10 St & 2 Ave,E 10 St & 2 Ave,aa8fc8b7-b66c-41d9-9885-30b8af599378
4278.03,Marcus Garvey Blvd & Macon St,Marcus Garvey Blvd & Macon St,66dcbbfe-0aca-11e7-82f6-3863bb44ef7c
5794.05,India St Pier,India St Pier,bfe5e69d-89ff-48b3-bf20-80cbdfa443e0
5676.04,Calyer St & West St,Calyer St & West St,1814548067447122618
4568.01,Van Buren St & Broadway,Van Buren St & Broadway,2a9e2320-083d-4044-aedf-0c15ecfefe61
5288.09,Warren St & W Broadway,Warren St & W Broadway,66db3053-0aca-11e7-82f6-3863bb44ef7c
3341.06,Church Ave & E 45 St,Church Ave & E 45 St,1851999409149780880
6170.09,Jackson Ave & 49 Ave,Jackson Ave & 49 Ave,1905394575114219798
4413.08,Warren St & Court St,Warren St & Court St,66dde703-0aca-11e7-82f6-3863bb44ef7c
5902.07,Eagle St & Manhattan Ave,Eagle St & Manhattan Ave,1786696251091417274
6913.03,24 Ave & 92 St,24 Ave & 92 St,1835246937517543544
6717.06,9 Ave & W 45 St,9 Ave & W 45 St,66dc42a0-0aca-11e7-82f6-3863bb44ef7c
4386.07,Carlton Ave & Greene Ave,Carlton Ave & Greene Ave,1962547377975794462
3657.06,Sterling St & Nostrand Ave,Sterling St & Nostrand Ave,d5cabb43-6c78-4022-964e-a8b02470509e
5297.02,Vesey Pl & River Terrace,Vesey Pl & River Terrace,66db8d89-0aca-11e7-82f6-3863bb44ef7c
4019.06,Carroll St & 6 Ave,Carroll St & 6 Ave,66de1ea2-0aca-11e7-82f6-3863bb44ef7c
6408.08,75 St & 35 Ave,75 St & 35 Ave,1836581807397045112
4452.03,Lexington Ave & Classon Ave,Lexington Ave & Classon Ave,66db29e6-0aca-11e7-82f6-3863bb44ef7c
6925.09,2 Ave & E 72 St,2 Ave & E 72 St,e36b5913-8e46-4c2a-b9be-73bdf8ee548b
6552.07,34 Ave & 89 St,34 Ave & 89 St,1856766912456610780
5489.03,Kent Ave & N 7 St,Kent Ave & N 7 St,66dcac42-0aca-11e7-82f6-3863bb44ef7c
7098.05,27 Ave & 9 St,27 Ave & 9 St,0927e331-866f-4d99-99b4-04edde99117a
6089.08,Lexington Ave & E 26 St,Lexington Ave & E 26 St,454b4a83-d0b1-42a2-8163-261e2a9d6ab9
8397.02,E Burnside Ave & Ryer Ave,E Burnside Ave & Ryer Ave,c0a2d591-4eed-488b-b88b-0b23990e3756
5470.12,North Moore St & Greenwich St,North Moore St & Greenwich St,c1e24edf-7192-433f-8d38-be5b6b3647c5
6104.01,55 Ave & Center Blvd,55 Ave & Center Blvd,1880644037244334512
5779.10,E 14 St & 1 Ave,E 14 St & 1 Ave,e2fc6d90-8deb-4e21-961d-9d5208c1f986
5379.09,Berry St & N 8 St,Berry St & N 8 St,66dd01c5-0aca-11e7-82f6-3863bb44ef7c
4089.01,Bergen St & Kingston Ave,Bergen St & Kingston Ave,00d94dfc-3695-47e1-aba6-7f319dd2eb08
5445.02,Suffolk St & Stanton St,Suffolk St & Stanton St,66dbf442-0aca-11e7-82f6-3863bb44ef7c
4735.03,Putnam Ave & Wyckoff Ave,Putnam Ave & Wyckoff Ave,6ca15d94-897a-4c81-ab47-366829afb7c4
6551.11,E 43 St & Madison Ave,E 43 St & Madison Ave,2af3ecc3-4f43-468a-a7cc-bb4804ee3e7a
5914.08,Greenwich Ave & Charles St,Greenwich Ave & Charles St,66dbe68e-0aca-11e7-82f6-3863bb44ef7c
6332.10,Broadway & 74 St,Broadway & 74 St,2010065065442370322
3000.08,6 Ave & 55 St,6 Ave & 55 St,9789dc0f-1eb6-4830-bda9-1ce5f1413e19
7288.04,Riverside Dr & W 72 St,Riverside Dr & W 72 St,66dd4d70-0aca-11e7-82f6-3863bb44ef7c
6422.08,E 43 St & 2 Ave,E 43 St & 2 Ave,66dca5f3-0aca-11e7-82f6-3863bb44ef7c
5065.14,Cliff St & Fulton St,Cliff St & Fulton St,e8df73bd-5d3d-47c9-b04d-bcec4db5540f
8752.01,Bedford Park Blvd & Paul Ave,Bedford Park Blvd & Paul Ave,c8c39d85-4ce7-46c5-b709-998067200780
6222.04,Corona Ave & 102 St,Corona Ave & 102 St,1846086562569586930
4362.04,Pacific St & Nevins St,Pacific St & Nevins St,66de5773-0aca-11e7-82f6-3863bb44ef7c
4519.02,Greene Ave & Nostrand Ave,Greene Ave & Nostrand Ave,66dcc37f-0aca-11e7-82f6-3863bb44ef7c
5335.07,Grand St & Samuel Dickstein Plaza,Grand St & Samuel Dickstein Plaza,8cb0375d-bcb2-4c90-9773-41c3c8fdf8d8
6258.02,72 St & Broadway,72 St & Broadway,1841240663447542046
8366.06,W 176 St & Montgomery Ave,W 176 St & Montgomery Ave,eb41a103-0196-4f19-a440-256167191a7d
6816.07,8 Ave & W 52 St,8 Ave & W 52 St,66dc1d0c-0aca-11e7-82f6-3863bb44ef7c
4377.04,Cambridge Pl & Gates Ave,Cambridge Pl & Gates Ave,66dcbefb-0aca-11e7-82f6-3863bb44ef7c
5730.08,Greenwich St & W Houston St,Greenwich St & W Houston St,66dbbeda-0aca-11e7-82f6-3863bb44ef7c
5763.03,Carmine St & 6 Ave,Carmine St & 6 Ave,66dbce8a-0aca-11e7-82f6-3863bb44ef7c
5368.03,River Ter & Warren St,River Ter & Warren St,a6492ad5-d13e-48b0-a0d5-08e60ad93e53
5436.09,Ave D & E 3 St,Ave D & E 3 St,66db6cd4-0aca-11e7-82f6-3863bb44ef7c
4172.04,Herkimer St & New York Ave,Herkimer St & New York Ave,653ba606-f397-41e6-adc4-f775bf2d0c9f
4628.05,Willoughby St & Fleet St,Willoughby St & Fleet St,66db3d2a-0aca-11e7-82f6-3863bb44ef7c
4812.04,Sands St Gate,Sands St Gate,8dfff4bd-0f3c-43af-bc55-a63850f66c6b
6819.15,31 Ave & 34 St,31 Ave & 34 St,0e5be726-2452-42a0-9be8-ea85c8408e4c
6459.07,W 30 St & 10 Ave,W 30 St & 10 Ave,e51c8b72-460f-41c2-a5ca-de85d3f46a30
5184.08,West St & Liberty St,West St & Liberty St,3b530cff-dd26-4cfd-b570-a85fd53354fe
5687.04,MacDougal St & Prince St,MacDougal St & Prince St,66db2afe-0aca-11e7-82f6-3863bb44ef7c
5602.06,Greene St & Prince St,Greene St & Prince St,53e30d38-a110-42b4-a8f9-ca801a847ac7
4781.05,Nassau St & Duffield St,Nassau St & Duffield St,f8c1c90f-4ec0-44bd-b097-cfafc887744d
6307.07,61 St & 39 Ave,61 St & 39 Ave,72719900-dd61-40bd-9f4a-40d70c47590c
7020.02,E 77 St & 1 Ave,E 77 St & 1 Ave,14391923-6727-4359-92e9-03e0b5094753
6551.16,E 46 St & Madison Ave,E 46 St & Madison Ave,1903998756008763590
4016.03,Kingston Ave & Park Pl,Kingston Ave & Park Pl,1d167807-0aa8-413a-b7a0-01c2ca8a6a60
5114.08,South End Ave & Albany St,South End Ave & Albany St,1794096824496960148
7186.15,19 St & 24 Ave,19 St & 24 Ave,3e1bdcec-e762-4e83-b447-007f05923cce
4334.02,Halsey St & Ralph Ave,Halsey St & Ralph Ave,7f3aa940-18ef-4900-89dc-cdb05f693f31
5797.01,MacDougal St & Washington Sq,MacDougal St & Washington Sq,66db41bf-0aca-11e7-82f6-3863bb44ef7c
5788.12,E 12 St & 3 Ave,E 12 St & 3 Ave,66dc481a-0aca-11e7-82f6-3863bb44ef7c
6257.06,W 27 St & 7 Ave,W 27 St & 7 Ave,1960021358478625244
5382.07,Forsyth St & Grand St,Forsyth St & Grand St,9e3603ee-2b7d-4147-a7b5-48bbd778902c
4903.09,Dock St & Front St,Dock St & Front St,afd76a0e-ceb8-4d18-a427-b378c4d07a75
4895.03,Front St & Jay St,Front St & Jay St,9505c2b7-0c3a-4791-8471-d2092a86291f
5442.05,Bayard St & Leonard St,Bayard St & Leonard St,66dea4bf-0aca-11e7-82f6-3863bb44ef7c
7756.10,St Nicholas Ave & W 126 St,St Nicholas Ave & W 126 St,dd8627c8-4190-4a30-8758-e77a7b010437
2984.04,Cortelyou Rd & Argyle Rd,Cortelyou Rd & Argyle Rd,1814907277023901890
5303.06,Clinton St & Grand St,Clinton St & Grand St,66dbc420-0aca-11e7-82f6-3863bb44ef7c
5721.14,LaGuardia Pl & W 3 St,LaGuardia Pl & W 3 St,66db3273-0aca-11e7-82f6-3863bb44ef7c
